crash_id,latitude,longitude,date,day_of_week,killed,injured,severity
761,17.428329826418363,78.52878586422034,2022-06-27 00:00:00,monday,1,1,6
785,17.19465968219884,78.39552715964037,2022-07-04 00:00:00,monday,3,0,15
828,16.084111910361987,77.89860863476197,2022-07-13 00:00:00,wednesday,3,0,15
831,17.411259609565853,78.46070920569524,2022-07-15 00:00:00,friday,2,0,10
893,17.255340256368513,78.38134141799141,2022-08-01 00:00:00,monday,1,2,7
920,18.91469965911996,78.36007559482111,2022-08-10 00:00:00,wednesday,4,3,23
924,17.921580435051617,78.6394576640401,2022-08-10 00:00:00,wednesday,4,0,20
1239,17.688016079430852,79.89392851062833,2022-10-28 00:00:00,friday,4,3,23
1251,17.438425267294747,78.45059784004324,2022-10-30 00:00:00,sunday,1,0,5
1254,19.66430394939275,78.52895617239561,2022-10-30 00:00:00,sunday,4,0,20
1256,17.635476518528307,78.4851888279516,2022-10-30 00:00:00,sunday,3,9,24
1258,19.027063178328984,78.36298370549322,2022-11-01 00:00:00,tuesday,1,3,8
1263,17.56429663919786,78.49334533381393,2022-11-01 00:00:00,tuesday,2,0,10
1264,17.705116700596818,78.0941287496498,2022-11-02 00:00:00,wednesday,2,0,10
1350,17.41604008317256,79.35145036527567,2022-11-22 00:00:00,tuesday,8,2,42
1354,16.31830655019522,77.95075530161922,2022-11-20 00:00:00,sunday,3,16,31
1406,17.219357531601254,78.33618880820711,2022-12-04 00:00:00,sunday,3,0,15
1435,18.782864650870852,78.29786014542509,2022-12-10 00:00:00,saturday,3,0,15
1509,17.517909994790656,78.44654596487308,2022-12-25 00:00:00,sunday,2,0,10
1512,19.420669708373815,78.81012774784739,2022-12-25 00:00:00,sunday,4,0,20
1521,17.425777571800175,78.34047686462186,2022-12-25 00:00:00,sunday,1,6,11
1542,17.468736111207978,78.53471899547422,2022-12-31 00:00:00,saturday,1,1,6
1550,17.524465521608498,80.00438226057065,2022-12-31 00:00:00,saturday,2,0,10
1573,17.42744157524595,78.43639703594485,2023-01-01 00:00:00,sunday,2,0,10
1669,17.594423354664716,80.31430272073665,2023-01-20 00:00:00,friday,4,0,20
1700,17.31837592801529,78.58667691737277,2023-01-30 00:00:00,monday,1,0,5
1701,17.35115808879119,78.36359413005538,2023-01-31 00:00:00,tuesday,2,4,14
1708,17.41076469707244,78.3974270663452,2023-02-03 00:00:00,friday,1,0,5
1712,17.59284230210187,78.40756232574495,2023-02-04 00:00:00,saturday,2,14,24
1752,17.45466631734385,78.13356882175847,2023-02-14 00:00:00,tuesday,1,1,6
1777,17.393421354353578,78.43307259943855,2023-02-22 00:00:00,wednesday,1,0,5
1798,17.41953190160989,78.38682215493436,2023-02-28 00:00:00,tuesday,1,0,5
1820,17.05400888550831,79.26573834777881,2023-03-05 00:00:00,sunday,2,1,11
1852,18.541330822820626,78.22511289364212,2023-03-13 00:00:00,monday,4,0,20
1854,17.47033808434841,78.3592432979106,2023-03-12 00:00:00,sunday,1,0,5
1866,17.40143950321319,78.56118302395446,2023-03-17 00:00:00,friday,1,0,5
1897,17.679892061174687,79.60535739547875,2023-03-29 00:00:00,wednesday,1,2,7
1900,18.157311206356123,79.71528494917405,2023-03-29 00:00:00,wednesday,2,15,25
